id,List_of_items,number_of_items_per_type,total_number_of_items,store_id,operator_id,city_id
1,"[1, 2, 3, 4, 5]","[91, 68, 29, 87, 25]",300,1,1,1
2,"[1, 2, 3, 4, 5]","[97, 62, 39, 51, 44]",293,2,1,1
3,"[1, 2, 3, 4, 5]","[84, 46, 89, 63, 87]",369,3,1,1
4,"[1, 2, 3, 4, 5]","[52, 25, 70, 28, 12]",187,4,1,1
5,"[1, 2, 3, 4, 5]","[89, 27, 78, 27, 42]",263,5,1,1
6,"[1, 2, 3, 4, 5]","[39, 87, 52, 37, 83]",298,6,1,1
7,"[1, 2, 3, 4, 5]","[33, 26, 59, 38, 49]",205,7,1,1
8,"[1, 2, 3, 4, 5]","[80, 47, 57, 60, 92]",336,8,1,1
9,"[1, 2, 3, 4, 5]","[75, 84, 73, 86, 72]",390,9,1,1
10,"[1, 2, 3, 4, 5]","[47, 98, 92, 30, 99]",366,10,1,1
11,"[1, 2, 3, 4, 5]","[17, 57, 15, 29, 69]",187,11,1,2
12,"[1, 2, 3, 4, 5]","[23, 58, 48, 92, 78]",299,12,1,2
13,"[1, 2, 3, 4, 5]","[94, 55, 19, 70, 88]",326,13,1,2
14,"[1, 2, 3, 4, 5]","[31, 15, 74, 45, 76]",241,14,1,2
15,"[1, 2, 3, 4, 5]","[43, 14, 99, 62, 37]",255,15,1,2
16,"[1, 2, 3, 4, 5]","[17, 58, 75, 50, 14]",214,16,1,2
17,"[1, 2, 3, 4, 5]","[87, 57, 66, 64, 18]",292,17,1,2
18,"[1, 2, 3, 4, 5]","[14, 97, 80, 73, 25]",289,18,1,2
19,"[1, 2, 3, 4, 5]","[76, 77, 63, 16, 53]",285,19,1,2
20,"[1, 2, 3, 4, 5]","[54, 72, 64, 55, 24]",269,20,1,2
21,"[1, 2, 3, 4, 5]","[15, 37, 16, 75, 65]",208,21,1,3
22,"[1, 2, 3, 4, 5]","[78, 41, 16, 46, 46]",227,22,1,3
23,"[1, 2, 3, 4, 5]","[32, 85, 24, 79, 70]",290,23,1,3
24,"[1, 2, 3, 4, 5]","[48, 36, 52, 67, 11]",214,24,1,3
25,"[1, 2, 3, 4, 5]","[48, 33, 90, 93, 41]",305,25,1,3
26,"[1, 2, 3, 4, 5]","[47, 10, 80, 65, 69]",271,26,1,3
27,"[1, 2, 3, 4, 5]","[88, 71, 66, 81, 73]",379,27,1,3
28,"[1, 2, 3, 4, 5]","[14, 58, 14, 64, 74]",224,28,1,3
29,"[1, 2, 3, 4, 5]","[81, 15, 47, 90, 31]",264,29,1,3
30,"[1, 2, 3, 4, 5]","[62, 80, 76, 48, 41]",307,30,1,3
31,"[1, 2, 3, 4, 5]","[84, 99, 54, 76, 42]",355,31,1,4
32,"[1, 2, 3, 4, 5]","[22, 79, 40, 53, 50]",244,32,1,4
33,"[1, 2, 3, 4, 5]","[60, 58, 54, 66, 97]",335,33,1,4
34,"[1, 2, 3, 4, 5]","[59, 39, 40, 62, 16]",216,34,1,4
35,"[1, 2, 3, 4, 5]","[94, 44, 23, 62, 72]",295,35,1,4
36,"[1, 2, 3, 4, 5]","[67, 85, 96, 67, 15]",330,36,1,4
37,"[1, 2, 3, 4, 5]","[77, 15, 83, 52, 65]",292,37,1,4
38,"[1, 2, 3, 4, 5]","[41, 16, 68, 31, 17]",173,38,1,4
39,"[1, 2, 3, 4, 5]","[79, 22, 58, 72, 37]",268,39,1,4
40,"[1, 2, 3, 4, 5]","[92, 52, 58, 61, 70]",333,40,1,4
41,"[1, 2, 3, 4, 5]","[83, 68, 61, 72, 32]",316,41,1,5
42,"[1, 2, 3, 4, 5]","[96, 46, 61, 32, 62]",297,42,1,5
43,"[1, 2, 3, 4, 5]","[76, 64, 100, 57, 57]",354,43,1,5
44,"[1, 2, 3, 4, 5]","[44, 58, 19, 76, 22]",219,44,1,5
45,"[1, 2, 3, 4, 5]","[16, 94, 59, 91, 14]",274,45,1,5
46,"[1, 2, 3, 4, 5]","[81, 80, 64, 17, 50]",292,46,1,5
47,"[1, 2, 3, 4, 5]","[66, 99, 79, 13, 99]",356,47,1,5
48,"[1, 2, 3, 4, 5]","[33, 86, 84, 52, 37]",292,48,1,5
49,"[1, 2, 3, 4, 5]","[72, 35, 18, 60, 100]",285,49,1,5
50,"[1, 2, 3, 4, 5]","[41, 25, 94, 79, 50]",289,50,1,5
51,"[1, 2, 3, 4, 5]","[91, 12, 72, 92, 31]",298,51,1,6
52,"[1, 2, 3, 4, 5]","[67, 82, 53, 83, 44]",329,52,1,6
53,"[1, 2, 3, 4, 5]","[74, 40, 55, 12, 57]",238,53,1,6
54,"[1, 2, 3, 4, 5]","[89, 72, 78, 31, 17]",287,54,1,6
55,"[1, 2, 3, 4, 5]","[51, 98, 99, 46, 56]",350,55,1,6
56,"[1, 2, 3, 4, 5]","[17, 16, 17, 87, 52]",189,56,1,6
57,"[1, 2, 3, 4, 5]","[10, 22, 29, 45, 44]",150,57,1,6
58,"[1, 2, 3, 4, 5]","[73, 22, 93, 69, 12]",269,58,1,6
59,"[1, 2, 3, 4, 5]","[64, 87, 44, 68, 14]",277,59,1,6
60,"[1, 2, 3, 4, 5]","[94, 91, 48, 48, 85]",366,60,1,6
61,"[1, 2, 3, 4, 5]","[29, 30, 80, 97, 69]",305,61,1,7
62,"[1, 2, 3, 4, 5]","[37, 69, 18, 85, 56]",265,62,1,7
63,"[1, 2, 3, 4, 5]","[55, 71, 19, 46, 19]",210,63,1,7
64,"[1, 2, 3, 4, 5]","[14, 69, 43, 50, 64]",240,64,1,7
65,"[1, 2, 3, 4, 5]","[26, 58, 60, 31, 64]",239,65,1,7
66,"[1, 2, 3, 4, 5]","[25, 46, 82, 69, 56]",278,66,1,7
67,"[1, 2, 3, 4, 5]","[56, 35, 10, 19, 78]",198,67,1,7
68,"[1, 2, 3, 4, 5]","[45, 99, 75, 44, 78]",341,68,1,7
69,"[1, 2, 3, 4, 5]","[28, 76, 27, 66, 86]",283,69,1,7
70,"[1, 2, 3, 4, 5]","[75, 29, 58, 27, 29]",218,70,1,7
71,"[1, 2, 3, 4, 5]","[29, 94, 47, 92, 76]",338,71,1,9
72,"[1, 2, 3, 4, 5]","[72, 55, 67, 83, 58]",335,72,1,9
73,"[1, 2, 3, 4, 5]","[47, 56, 67, 88, 25]",283,73,1,9
74,"[1, 2, 3, 4, 5]","[26, 38, 69, 44, 58]",235,74,1,9
75,"[1, 2, 3, 4, 5]","[82, 37, 10, 42, 58]",229,75,1,9
76,"[1, 2, 3, 4, 5]","[73, 93, 80, 76, 14]",336,76,1,9
