Request_id,Customer_id,company_id,operator_id,store_id,Delivery_latitude,Delivery_longitude,Delivery_city_id,Delivery_address,items_in_this_request,Request_placing_time
1,1,8,6,1689,30.037902009250008,74.20385184834377,1,Address_1,"[(3, 1), (1, 11), (4, 2)]",2024-11-04 09:00:00
2,2,2,2,244,30.150396799411137,74.3735494495295,1,Address_2,"[(1, 10)]",2024-11-04 09:00:00
3,3,2,2,1449,30.185206080281755,74.06049728081452,1,Address_3,"[(4, 10), (4, 11), (3, 15), (5, 6), (3, 14), (2, 16)]",2024-11-04 09:00:00
4,4,4,7,966,30.267152029747987,74.22522783322714,1,Address_4,"[(2, 7), (2, 15), (2, 10), (4, 13), (3, 17)]",2024-11-04 09:00:00
5,5,8,3,723,30.12893481579083,74.01427043912528,1,Address_5,"[(3, 7), (4, 8), (1, 7), (4, 12), (2, 20), (4, 7)]",2024-11-04 09:00:00
6,6,8,7,1447,30.056707016049817,74.12510445784815,1,Address_6,"[(3, 17)]",2024-11-04 09:00:00
7,7,2,10,250,30.21272468910643,74.19412073275117,1,Address_7,"[(1, 1), (4, 14), (5, 8), (4, 4), (1, 9)]",2024-11-04 09:00:00
8,8,8,8,6,30.14178150863379,74.1928554924878,1,Address_8,"[(5, 5)]",2024-11-04 09:00:00
9,9,2,4,1923,30.06684290782961,74.29575622349017,1,Address_9,"[(2, 19), (3, 3), (3, 20)]",2024-11-04 09:00:00
10,10,8,7,2,30.158955034526986,74.17717052323529,1,Address_10,"[(1, 2)]",2024-11-04 09:00:00
11,11,2,9,723,30.142983414400295,74.19081337703184,1,Address_11,"[(5, 11), (5, 3), (3, 8), (4, 14), (2, 18), (1, 2)]",2024-11-04 09:00:00
12,12,2,9,963,30.11961215884262,74.20121619863458,1,Address_12,"[(5, 17), (5, 10), (5, 7), (4, 2)]",2024-11-04 09:00:00
13,13,2,5,1205,30.16664444458839,74.21530005334168,1,Address_13,"[(2, 10), (3, 6), (4, 4), (4, 19), (3, 18)]",2024-11-04 09:00:00
14,14,2,8,1444,30.01486657805845,74.21157384823087,1,Address_14,"[(3, 12), (5, 3), (2, 3), (5, 2), (5, 17), (3, 9)]",2024-11-04 09:00:00
15,15,4,6,2167,30.16665029602613,74.22153026304369,1,Address_15,"[(4, 7)]",2024-11-04 09:00:00
16,16,4,6,1685,30.15227015486007,74.1723241116331,1,Address_16,"[(4, 13), (5, 2), (1, 4), (4, 17)]",2024-11-04 09:00:00
17,17,4,5,965,30.023245862682938,74.22984288311962,1,Address_17,"[(4, 3), (2, 16), (1, 10), (3, 12)]",2024-11-04 09:00:00
18,18,4,9,725,30.150736320965883,74.27750449370737,1,Address_18,"[(1, 10), (3, 14), (3, 4), (4, 7), (2, 11)]",2024-11-04 09:00:00
19,19,8,6,1924,30.12294214703637,74.19541397094032,1,Address_19,"[(3, 5), (1, 4), (1, 11)]",2024-11-04 09:00:00
20,20,2,6,2161,30.127610113479754,74.38843342268122,1,Address_20,"[(2, 6), (1, 3), (1, 8), (4, 14)]",2024-11-04 09:00:00
21,21,8,1,964,30.066493195544375,74.3786863750386,1,Address_21,"[(5, 3)]",2024-11-04 09:00:00
22,22,2,1,1208,30.006210507469074,74.29948180526695,1,Address_22,"[(3, 14), (4, 12), (3, 4), (3, 1), (4, 4)]",2024-11-04 09:00:00
23,23,2,1,1444,30.155166827230666,74.05482486044674,1,Address_23,"[(4, 18), (3, 8), (3, 10)]",2024-11-04 09:00:00
24,24,2,7,2165,30.289171634036933,74.17335735950356,1,Address_24,"[(1, 1), (2, 14), (3, 4)]",2024-11-04 09:00:00
25,25,8,2,250,30.190134989366253,74.23094055304574,1,Address_25,"[(1, 19)]",2024-11-04 09:00:00
26,26,2,1,2165,30.119577626145034,74.31699962369274,1,Address_26,"[(2, 6), (5, 7), (3, 9)]",2024-11-04 09:00:00
27,27,2,3,961,30.108635901492903,74.19502837065802,1,Address_27,"[(4, 13), (5, 20), (3, 19)]",2024-11-04 09:00:00
28,28,4,7,1924,29.974567917685338,74.24242804956569,1,Address_28,"[(1, 20), (2, 4), (4, 7), (4, 14), (5, 4)]",2024-11-04 09:00:00
29,29,8,3,245,30.28007185252344,74.10643058396448,1,Address_29,"[(4, 18), (1, 16), (4, 4), (1, 20), (1, 17)]",2024-11-04 09:00:00
30,30,8,9,721,30.08414155564191,74.18992758816279,1,Address_30,"[(2, 6), (2, 4), (1, 20), (4, 16), (1, 11)]",2024-11-04 09:00:00
31,31,3,10,2180,19.46277370723839,78.27641378608652,2,Address_31,"[(1, 17)]",2024-11-04 09:00:00
