vehicle_id,owner,driver,vehicle_operator,vehicle_type_id,number_plate,fuel_type,vehicle_status
1,Owner_1,Driver_1,3,534,AB-82-AB-2660,Diesel,In Use
2,Owner_2,Driver_2,4,429,AB-59-AB-3828,Diesel,Under Maintenance
3,Owner_3,Driver_3,6,445,AB-72-AB-3546,Petrol,In Use
4,Owner_4,Driver_4,10,733,AB-94-AB-2113,Petrol,Available
5,Owner_5,Driver_5,8,797,AB-64-AB-3223,Diesel,In Use
6,Owner_6,Driver_6,2,600,AB-21-AB-4463,Electric,In Use
7,Owner_7,Driver_7,8,834,AB-28-AB-4711,Electric,Under Maintenance
8,Owner_8,Driver_8,9,216,AB-92-AB-8875,Petrol,Under Maintenance
9,Owner_9,Driver_9,4,814,AB-76-AB-7918,Electric,Available
10,Owner_10,Driver_10,2,150,AB-25-AB-9441,Petrol,In Use
11,Owner_11,Driver_11,1,12,AB-66-AB-8464,Diesel,Under Maintenance
12,Owner_12,Driver_12,3,730,AB-86-AB-9637,Petrol,Under Maintenance
13,Owner_13,Driver_13,3,282,AB-22-AB-9944,Diesel,In Use
14,Owner_14,Driver_14,9,235,AB-47-AB-3444,Electric,In Use
15,Owner_15,Driver_15,9,410,AB-45-AB-1665,Electric,Under Maintenance
16,Owner_16,Driver_16,1,632,AB-92-AB-1591,Diesel,Available
17,Owner_17,Driver_17,5,875,AB-62-AB-8396,Diesel,Under Maintenance
18,Owner_18,Driver_18,5,888,AB-54-AB-1213,Electric,Available
19,Owner_19,Driver_19,4,345,AB-19-AB-2624,Electric,Available
20,Owner_20,Driver_20,1,768,AB-52-AB-3112,Diesel,Under Maintenance
21,Owner_21,Driver_21,9,416,AB-79-AB-4867,Diesel,Under Maintenance
22,Owner_22,Driver_22,6,233,AB-60-AB-5791,Electric,In Use
23,Owner_23,Driver_23,7,710,AB-86-AB-2467,Diesel,Available
24,Owner_24,Driver_24,5,37,AB-21-AB-9435,Diesel,Available
25,Owner_25,Driver_25,10,924,AB-73-AB-5455,Petrol,Under Maintenance
26,Owner_26,Driver_26,8,715,AB-44-AB-1120,Electric,Available
27,Owner_27,Driver_27,3,441,AB-62-AB-7154,Electric,In Use
28,Owner_28,Driver_28,5,527,AB-23-AB-1059,Electric,Available
29,Owner_29,Driver_29,6,464,AB-20-AB-2868,Petrol,Available
30,Owner_30,Driver_30,3,456,AB-47-AB-9502,Petrol,Under Maintenance
31,Owner_31,Driver_31,7,458,AB-71-AB-7468,Diesel,Under Maintenance
32,Owner_32,Driver_32,8,401,AB-67-AB-9636,Diesel,Under Maintenance
33,Owner_33,Driver_33,3,696,AB-10-AB-9320,Diesel,Under Maintenance
34,Owner_34,Driver_34,8,198,AB-94-AB-1921,Electric,In Use
35,Owner_35,Driver_35,4,40,AB-83-AB-7808,Diesel,Available
36,Owner_36,Driver_36,7,500,AB-81-AB-3180,Electric,Available
37,Owner_37,Driver_37,5,411,AB-54-AB-3964,Diesel,Under Maintenance
38,Owner_38,Driver_38,10,740,AB-19-AB-3828,Electric,Under Maintenance
39,Owner_39,Driver_39,8,360,AB-26-AB-8693,Electric,Under Maintenance
40,Owner_40,Driver_40,2,210,AB-95-AB-6546,Electric,Available
41,Owner_41,Driver_41,6,612,AB-63-AB-6786,Petrol,Available
42,Owner_42,Driver_42,8,758,AB-40-AB-2068,Diesel,Under Maintenance
43,Owner_43,Driver_43,10,893,AB-54-AB-1726,Electric,In Use
44,Owner_44,Driver_44,2,110,AB-35-AB-2194,Petrol,Available
45,Owner_45,Driver_45,2,228,AB-75-AB-6361,Diesel,Under Maintenance
46,Owner_46,Driver_46,3,605,AB-37-AB-8872,Petrol,In Use
47,Owner_47,Driver_47,3,254,AB-20-AB-9093,Diesel,Available
48,Owner_48,Driver_48,3,381,AB-24-AB-2414,Petrol,Available
49,Owner_49,Driver_49,7,831,AB-19-AB-6621,Petrol,In Use
50,Owner_50,Driver_50,1,896,AB-52-AB-8273,Diesel,Under Maintenance
