,store_id,operator_id,city_id,location_latitude,location_longitude,contact_email,contact_mobile,start_time,end_time,inventory_capacity
0,1,1,19,20.065278949485453,75.42400519247863,store1@aurangabad.com,9140100003,2024-09-26 09:00:00,2024-09-26 21:00:00,1896
1,2,1,19,19.89856177005756,75.21626115003164,store2@aurangabad.com,9373885485,2024-09-26 09:00:00,2024-09-26 21:00:00,3832
2,3,1,19,19.740439283925006,75.54802627603081,store3@aurangabad.com,9601670751,2024-09-26 09:00:00,2024-09-26 21:00:00,4627
3,4,1,19,19.88300779724982,75.43171550055685,store4@aurangabad.com,9555147593,2024-09-26 09:00:00,2024-09-26 21:00:00,4567
4,5,1,19,19.9567062261161,75.33963937883676,store5@aurangabad.com,9872269092,2024-09-26 09:00:00,2024-09-26 21:00:00,3050
5,6,1,19,19.73427457463304,75.33224959891075,store6@aurangabad.com,9547667937,2024-09-26 09:00:00,2024-09-26 21:00:00,3793
6,7,1,19,19.872893958214902,75.39264415685773,store7@aurangabad.com,9368773816,2024-09-26 09:00:00,2024-09-26 21:00:00,3533
7,8,1,19,19.998633056515565,75.22802021970821,store8@aurangabad.com,9805755065,2024-09-26 09:00:00,2024-09-26 21:00:00,1126
8,9,1,19,19.897965053322338,75.40711393519213,store9@aurangabad.com,9126117667,2024-09-26 09:00:00,2024-09-26 21:00:00,2781
9,10,1,19,19.970326309818418,75.2583190995923,store10@aurangabad.com,9615706456,2024-09-26 09:00:00,2024-09-26 21:00:00,1480
10,1,1,4,27.19471087061443,78.00150215465722,store1@agra.com,9399516583,2024-09-26 09:00:00,2024-09-26 21:00:00,1494
11,2,1,4,27.18544620873101,77.96366315276032,store2@agra.com,9315213148,2024-09-26 09:00:00,2024-09-26 21:00:00,2185
12,3,1,4,27.221106026005295,78.06855490774771,store3@agra.com,9040127738,2024-09-26 09:00:00,2024-09-26 21:00:00,1899
13,4,1,4,27.130248845994743,77.91306813865569,store4@agra.com,9961076131,2024-09-26 09:00:00,2024-09-26 21:00:00,1931
14,5,1,4,27.068905846813646,78.02350577164984,store5@agra.com,9875675367,2024-09-26 09:00:00,2024-09-26 21:00:00,2303
15,6,1,4,27.231506595323896,78.02160349950795,store6@agra.com,9110435678,2024-09-26 09:00:00,2024-09-26 21:00:00,2816
16,7,1,4,27.187618564691622,78.01823325266847,store7@agra.com,9751387359,2024-09-26 09:00:00,2024-09-26 21:00:00,4595
17,8,1,4,27.18620606273982,78.00410079343288,store8@agra.com,9747005817,2024-09-26 09:00:00,2024-09-26 21:00:00,4382
18,9,1,4,27.17062782704706,78.09919610629848,store9@agra.com,9427702378,2024-09-26 09:00:00,2024-09-26 21:00:00,3102
19,10,1,4,27.19008059096885,77.982828259491,store10@agra.com,9227840783,2024-09-26 09:00:00,2024-09-26 21:00:00,4988
20,1,1,16,20.969829400316186,77.75359713067539,store1@amaravati.com,9472962685,2024-09-26 09:00:00,2024-09-26 21:00:00,2502
21,2,1,16,20.952928551834134,77.72763115251998,store2@amaravati.com,9510069073,2024-09-26 09:00:00,2024-09-26 21:00:00,3066
22,3,1,16,21.03631273280158,77.84881815077928,store3@amaravati.com,9636199157,2024-09-26 09:00:00,2024-09-26 21:00:00,3961
23,4,1,16,20.84612737692214,77.73467561572585,store4@amaravati.com,9873742831,2024-09-26 09:00:00,2024-09-26 21:00:00,3965
24,5,1,16,21.008602205930682,77.74088793171146,store5@amaravati.com,9154653329,2024-09-26 09:00:00,2024-09-26 21:00:00,1176
25,6,1,16,21.024689586962154,77.63337121766148,store6@amaravati.com,9999311167,2024-09-26 09:00:00,2024-09-26 21:00:00,4596
26,7,1,16,21.017916926574557,77.87145814719304,store7@amaravati.com,9139238271,2024-09-26 09:00:00,2024-09-26 21:00:00,3233
27,8,1,16,20.97703666214527,77.73803823293672,store8@amaravati.com,9811969696,2024-09-26 09:00:00,2024-09-26 21:00:00,3185
28,9,1,16,20.89862438896407,77.78138919699404,store9@amaravati.com,9852761847,2024-09-26 09:00:00,2024-09-26 21:00:00,2427
29,10,1,16,20.81900430253175,77.77674828948521,store10@amaravati.com,9440753366,2024-09-26 09:00:00,2024-09-26 21:00:00,2071
30,1,1,8,26.501607743499267,74.7135739872974,store1@ajmer.com,9353807763,2024-09-26 09:00:00,2024-09-26 21:00:00,4003
31,2,1,8,26.451483877401987,74.75400856887664,store2@ajmer.com,9746478257,2024-09-26 09:00:00,2024-09-26 21:00:00,2287
32,3,1,8,26.633830684849347,74.72032142665054,store3@ajmer.com,9862361537,2024-09-26 09:00:00,2024-09-26 21:00:00,4713
33,4,1,8,26.434943469079027,74.59612173764052,store4@ajmer.com,9856927186,2024-09-26 09:00:00,2024-09-26 21:00:00,4379
34,5,1,8,26.553376548511338,74.63869001975876,store5@ajmer.com,9933930114,2024-09-26 09:00:00,2024-09-26 21:00:00,1572
35,6,1,8,26.488215159425543,74.62200078453479,store6@ajmer.com,9730364879,2024-09-26 09:00:00,2024-09-26 21:00:00,4278
36,7,1,8,26.42222357819822,74.79960716621416,store7@ajmer.com,9763303568,2024-09-26 09:00:00,2024-09-26 21:00:00,1522
37,8,1,8,26.3386736260566,74.51492228768356,store8@ajmer.com,9669028275,2024-09-26 09:00:00,2024-09-26 21:00:00,3058
38,9,1,8,26.282093255934527,74.64884575395308,store9@ajmer.com,9163807568,2024-09-26 09:00:00,2024-09-26 21:00:00,3282
39,10,1,8,26.413722777854503,74.56310270624448,store10@ajmer.com,9853464676,2024-09-26 09:00:00,2024-09-26 21:00:00,3666
40,1,1,22,28.90022697660682,79.11828162253089,store1@bamanpuri.com,9655810020,2024-09-26 09:00:00,2024-09-26 21:00:00,1272
41,2,1,22,28.70998797080119,78.93959627444146,store2@bamanpuri.com,9150111619,2024-09-26 09:00:00,2024-09-26 21:00:00,1628
42,3,1,22,28.85243678707616,79.09954532907828,store3@bamanpuri.com,9999409614,2024-09-26 09:00:00,2024-09-26 21:00:00,1150
43,4,1,22,28.802226211581228,78.9443353608703,store4@bamanpuri.com,9673717833,2024-09-26 09:00:00,2024-09-26 21:00:00,2146
44,5,1,22,28.90338088779966,79.13701987303584,store5@bamanpuri.com,9951168120,2024-09-26 09:00:00,2024-09-26 21:00:00,1208
45,6,1,22,28.811119951405377,79.04443386281717,store6@bamanpuri.com,9328011852,2024-09-26 09:00:00,2024-09-26 21:00:00,3830
46,7,1,22,28.729415695128,78.9553412161411,store7@bamanpuri.com,9230689642,2024-09-26 09:00:00,2024-09-26 21:00:00,1257
47,8,1,22,28.75663467468066,79.02933995347394,store8@bamanpuri.com,9324354951,2024-09-26 09:00:00,2024-09-26 21:00:00,4472
48,9,1,22,28.784210919372423,78.95882525548232,store9@bamanpuri.com,9054570922,2024-09-26 09:00:00,2024-09-26 21:00:00,4791
49,10,1,22,28.812463395405185,78.90914570056016,store10@bamanpuri.com,9426577974,2024-09-26 09:00:00,2024-09-26 21:00:00,3467
50,1,1,2,19.35206505880433,78.47128697360904,store1@adilabad.com,9306343305,2024-09-26 09:00:00,2024-09-26 21:00:00,3377
51,2,1,2,19.528464541304903,78.21386004484023,store2@adilabad.com,9752303004,2024-09-26 09:00:00,2024-09-26 21:00:00,3613
52,3,1,2,19.401769782900143,78.31733028342227,store3@adilabad.com,9694806057,2024-09-26 09:00:00,2024-09-26 21:00:00,2010
53,4,1,2,19.41064694798989,78.32524763074716,store4@adilabad.com,9882460253,2024-09-26 09:00:00,2024-09-26 21:00:00,3981
54,5,1,2,19.422724814789316,78.28130904212519,store5@adilabad.com,9685061596,2024-09-26 09:00:00,2024-09-26 21:00:00,3435
55,6,1,2,19.28497105349253,78.34337822284064,store6@adilabad.com,9598465753,2024-09-26 09:00:00,2024-09-26 21:00:00,1726
56,7,1,2,19.352268509668328,78.44367318682517,store7@adilabad.com,9263755510,2024-09-26 09:00:00,2024-09-26 21:00:00,4933
57,8,1,2,19.28952428237728,78.19932059039816,store8@adilabad.com,9446977428,2024-09-26 09:00:00,2024-09-26 21:00:00,4014
