city_id,name,center_latitude,center_longitude,radius,district,state,country,population,list_of_operators
1,Abohar,30.144533,74.19552,19.06232905184462,Abohar,Punjab,India,12985344,"[1, 4, 5]"
2,Adilabad,19.4,78.31,15.002448033480814,Adilabad,Telangana,India,4378771,"[2, 4, 5, 6]"
3,Agartala,23.836049,91.279386,26.4113109988683,Agartala,Tripura,India,11380138,"[2, 4, 6, 9]"
4,Agra,27.187935,78.003944,25.619116875946318,Agra,Uttar Pradesh,India,8336788,"[5, 10]"
5,Ahmadnagar,19.094571,74.738432,27.876913577867903,Ahmadnagar,Maharashtra,India,9692211,"[2, 3, 6, 7, 9]"
6,Ahmedabad,23.025793,72.587265,25.8804586716741,Ahmedabad,Gujarat,India,10483940,"[2, 3, 6, 8]"
7,Aizawl  ,23.736701,92.714596,15.619024145636631,Aizawl  ,Mizoram,India,3924985,"[5, 6, 8, 9, 10]"
8,Ajmer,26.452103,74.638667,19.52874635591194,Ajmer,Rajasthan,India,4496533,"[1, 3, 8, 9, 10]"
9,Akola,20.709569,76.998103,21.18993252092082,Akola,Maharashtra,India,14182285,"[7, 8, 9]"
10,Alappuzha,9.494647,76.331108,28.290615766896522,Alappuzha,Kerala,India,2052427,"[3, 7, 9, 10]"
11,Aligarh,27.881453,78.07464,14.53749433285233,Aligarh,Uttar Pradesh,India,2143280,"[4, 10]"
12,Alipurduar,26.4835,89.522855,25.783267865200525,Alipurduar,West Bengal,India,4021230,"[2, 6, 8, 10]"
13,Allahabad,25.44478,81.843217,16.723969418745543,Allahabad,Uttar Pradesh,India,7443465,"[3, 7, 8]"
14,Alwar,27.566291,76.610202,24.370207733811775,Alwar,Rajasthan,India,11900435,[7]
15,Ambala,30.360993,76.797819,27.71038002352708,Ambala,Haryana,India,3185087,"[2, 3, 4, 5, 6, 8, 10]"
16,Amaravati,20.933272,77.75152,15.93780102196876,Amaravati,Maharashtra,India,1792703,"[1, 3, 6, 9]"
17,Amritsar,31.622337,74.875335,20.939388484356467,Amritsar,Punjab,India,2417303,"[1, 2, 4]"
18,Asansol,23.683333,86.983333,22.10059837857621,Asansol,West Bengal,India,10294985,"[1, 3, 5, 7]"
19,Aurangabad,19.880943,75.346739,29.316993341886977,Aurangabad,Maharashtra,India,2216656,"[5, 7, 9]"
20,Aurangabad,24.752037,84.374202,25.020964783390617,Aurangabad,Bihar,India,4115804,"[1, 2, 3, 5, 7, 8, 9]"
21,Bakshpur,25.894283,80.792104,16.16384026116571,Bakshpur,Uttar Pradesh,India,2388675,"[1, 4, 7, 9, 10]"
22,Bamanpuri,28.804495,79.040305,14.88599576122143,Bamanpuri,Uttar Pradesh,India,5146044,"[1, 4, 5, 6, 8]"
23,Baramula,34.209004,74.342853,19.484786154911298,Baramula,Jammu and Kashmir,India,14715356,"[1, 2, 3, 4, 5]"
24,Barddhaman,23.255716,87.856906,21.091202669639753,Barddhaman,West Bengal,India,3945009,"[2, 6, 7, 8, 10]"
25,Bareilly,28.347023,79.421934,23.505266676966315,Bareilly,Uttar Pradesh,India,12700159,"[1, 4, 10]"
