item_id,name,item_type,weight,dimensions,special_handling_requirements
1,Item_1,Electronics,0.14,"(0.19, 0.87, 0.85)",Fragile
2,Item_2,Electronics,4.71,"(0.93, 0.81, 0.26)",None
3,Item_3,Furniture,3.87,"(0.92, 0.5, 0.54)",Fragile
4,Item_4,Food,8.79,"(0.53, 0.1, 0.26)",Perishable
5,Item_5,Electronics,2.01,"(0.11, 0.24, 0.73)",Fragile
6,Item_6,Electronics,0.63,"(0.78, 0.45, 0.76)",Perishable
7,Item_7,Books,0.15,"(0.94, 0.92, 0.27)",Fragile
8,Item_8,Food,8.14,"(0.87, 0.31, 0.74)",None
9,Item_9,Clothing,0.25,"(0.13, 0.76, 0.89)",Fragile
10,Item_10,Books,3.28,"(0.75, 0.67, 0.49)",None
