shipment_id,customer_id,facility_id,vehicle_id,pickup_time,delivery_time,items_shipped,shipment_value,payment_status
shipment_1,6,8,72,2024-09-26 13:41:33,2024-09-26 17:03:22,"[7, 2, 3, 5, 6]",193.8460378712865,Paid
shipment_2,8,10,135,2024-09-26 10:10:32,2024-09-26 13:11:35,"[7, 3, 10, 2, 9]",877.2045629985217,Unpaid
shipment_3,10,8,422,2024-09-26 11:30:04,2024-09-26 18:41:11,[10],521.3420024381783,Unpaid
shipment_4,3,4,44,2024-09-26 12:38:10,2024-09-26 18:11:02,"[8, 5]",942.6859579427726,Paid
shipment_5,10,7,443,2024-09-26 10:28:14,2024-09-26 15:18:43,"[4, 2]",937.3888613264554,Paid
shipment_6,6,6,181,2024-09-26 13:27:09,2024-09-26 19:23:28,"[4, 3, 2]",479.00934768688205,Paid
shipment_7,8,9,482,2024-09-26 09:08:04,2024-09-26 11:13:49,"[6, 10, 5]",847.7573630074539,Paid
shipment_8,5,4,387,2024-09-26 16:13:02,2024-09-26 18:22:16,"[8, 5, 10, 3, 9]",947.9248343598371,Paid
shipment_9,6,2,2,2024-09-26 12:24:14,2024-09-26 12:59:21,"[10, 6, 7, 9, 5]",269.4792408170532,Paid
shipment_10,7,2,382,2024-09-26 13:22:08,2024-09-26 19:58:38,[8],826.9751147531961,Paid
