vehicle_id,owner,driver,vehicle_operator,vehicle_type_id,number_plate,fuel_type,vehicle_status
1,Owner_1,Driver_1,13,1,AB-24-AB-8829,Petrol,Under Maintenance
2,Owner_2,Driver_2,16,4,AB-35-AB-5482,Petrol,Under Maintenance
3,Owner_3,Driver_3,1,2,AB-43-AB-2586,Electric,Under Maintenance
4,Owner_4,Driver_4,19,4,AB-23-AB-8489,Electric,Under Maintenance
5,Owner_5,Driver_5,4,5,AB-31-AB-1342,Petrol,Available
6,Owner_6,Driver_6,10,3,AB-61-AB-9186,Electric,In Use
7,Owner_7,Driver_7,8,4,AB-68-AB-5962,Petrol,In Use
8,Owner_8,Driver_8,6,2,AB-58-AB-2062,Diesel,Available
9,Owner_9,Driver_9,5,2,AB-59-AB-6657,Petrol,In Use
10,Owner_10,Driver_10,18,3,AB-27-AB-6407,Diesel,Under Maintenance
11,Owner_11,Driver_11,1,2,AB-28-AB-5016,Electric,Available
12,Owner_12,Driver_12,7,4,AB-54-AB-7517,Diesel,Available
13,Owner_13,Driver_13,11,5,AB-52-AB-3285,Diesel,Available
14,Owner_14,Driver_14,8,2,AB-25-AB-3077,Petrol,Available
15,Owner_15,Driver_15,1,5,AB-69-AB-1294,Diesel,Under Maintenance
16,Owner_16,Driver_16,8,4,AB-18-AB-9429,Diesel,Available
17,Owner_17,Driver_17,9,4,AB-15-AB-6270,Petrol,Under Maintenance
18,Owner_18,Driver_18,3,5,AB-75-AB-4010,Petrol,Under Maintenance
19,Owner_19,Driver_19,12,2,AB-78-AB-7344,Electric,In Use
20,Owner_20,Driver_20,12,1,AB-66-AB-6083,Petrol,In Use
21,Owner_21,Driver_21,13,3,AB-84-AB-4623,Petrol,In Use
22,Owner_22,Driver_22,5,5,AB-37-AB-7920,Diesel,Available
23,Owner_23,Driver_23,10,2,AB-73-AB-1656,Petrol,In Use
24,Owner_24,Driver_24,1,5,AB-22-AB-9296,Petrol,In Use
25,Owner_25,Driver_25,4,3,AB-54-AB-7059,Electric,In Use
26,Owner_26,Driver_26,6,2,AB-15-AB-6701,Petrol,Under Maintenance
27,Owner_27,Driver_27,17,5,AB-40-AB-7286,Diesel,Under Maintenance
28,Owner_28,Driver_28,4,2,AB-67-AB-2283,Electric,In Use
29,Owner_29,Driver_29,19,2,AB-91-AB-9588,Petrol,Available
30,Owner_30,Driver_30,10,5,AB-47-AB-5393,Diesel,Available
31,Owner_31,Driver_31,16,3,AB-28-AB-6327,Petrol,In Use
32,Owner_32,Driver_32,18,4,AB-38-AB-1247,Electric,In Use
33,Owner_33,Driver_33,8,3,AB-30-AB-1058,Electric,Available
34,Owner_34,Driver_34,3,5,AB-41-AB-4521,Petrol,Under Maintenance
35,Owner_35,Driver_35,8,5,AB-51-AB-7861,Diesel,In Use
36,Owner_36,Driver_36,15,2,AB-78-AB-5097,Diesel,Under Maintenance
37,Owner_37,Driver_37,4,2,AB-98-AB-9502,Electric,In Use
38,Owner_38,Driver_38,9,5,AB-83-AB-5562,Petrol,Available
39,Owner_39,Driver_39,17,3,AB-97-AB-3613,Electric,In Use
40,Owner_40,Driver_40,16,3,AB-34-AB-9071,Petrol,Available
41,Owner_41,Driver_41,4,5,AB-39-AB-3867,Electric,Under Maintenance
42,Owner_42,Driver_42,4,3,AB-15-AB-5189,Petrol,Under Maintenance
43,Owner_43,Driver_43,5,1,AB-47-AB-7780,Diesel,Available
44,Owner_44,Driver_44,2,1,AB-93-AB-5795,Diesel,Under Maintenance
45,Owner_45,Driver_45,7,4,AB-38-AB-7185,Petrol,Under Maintenance
46,Owner_46,Driver_46,1,3,AB-78-AB-4013,Electric,In Use
47,Owner_47,Driver_47,5,4,AB-76-AB-3136,Electric,Under Maintenance
48,Owner_48,Driver_48,13,1,AB-80-AB-5052,Electric,In Use
49,Owner_49,Driver_49,13,3,AB-82-AB-8661,Diesel,Under Maintenance
50,Owner_50,Driver_50,9,1,AB-87-AB-2517,Diesel,In Use
51,Owner_51,Driver_51,15,4,AB-23-AB-2781,Petrol,In Use
52,Owner_52,Driver_52,6,4,AB-25-AB-6677,Diesel,Available
53,Owner_53,Driver_53,19,5,AB-61-AB-8639,Diesel,Available
54,Owner_54,Driver_54,13,4,AB-38-AB-3880,Electric,Under Maintenance
55,Owner_55,Driver_55,7,4,AB-86-AB-4418,Electric,Under Maintenance
56,Owner_56,Driver_56,9,5,AB-25-AB-2262,Electric,Under Maintenance
57,Owner_57,Driver_57,11,5,AB-33-AB-3162,Electric,In Use
58,Owner_58,Driver_58,19,1,AB-29-AB-2762,Petrol,In Use
59,Owner_59,Driver_59,18,4,AB-42-AB-1225,Electric,In Use
60,Owner_60,Driver_60,3,4,AB-50-AB-1964,Diesel,Available
61,Owner_61,Driver_61,3,4,AB-28-AB-7554,Petrol,Under Maintenance
62,Owner_62,Driver_62,6,5,AB-78-AB-6434,Electric,Under Maintenance
63,Owner_63,Driver_63,15,1,AB-78-AB-4666,Electric,In Use
64,Owner_64,Driver_64,6,5,AB-39-AB-7392,Electric,Available
65,Owner_65,Driver_65,11,3,AB-52-AB-9364,Electric,Available
66,Owner_66,Driver_66,17,4,AB-43-AB-5643,Diesel,In Use
67,Owner_67,Driver_67,6,2,AB-47-AB-2395,Electric,In Use
68,Owner_68,Driver_68,3,2,AB-85-AB-2384,Petrol,Available
69,Owner_69,Driver_69,10,4,AB-44-AB-1856,Petrol,Under Maintenance
70,Owner_70,Driver_70,6,3,AB-86-AB-8429,Diesel,In Use
71,Owner_71,Driver_71,5,5,AB-48-AB-3103,Electric,In Use
72,Owner_72,Driver_72,8,2,AB-72-AB-3120,Electric,Available
73,Owner_73,Driver_73,20,3,AB-22-AB-3680,Electric,Available
74,Owner_74,Driver_74,10,4,AB-99-AB-6893,Diesel,Under Maintenance
75,Owner_75,Driver_75,3,2,AB-76-AB-9202,Diesel,In Use
76,Owner_76,Driver_76,3,5,AB-99-AB-1805,Diesel,Available
77,Owner_77,Driver_77,10,5,AB-85-AB-9113,Petrol,In Use
78,Owner_78,Driver_78,5,1,AB-70-AB-7760,Petrol,Under Maintenance
79,Owner_79,Driver_79,2,1,AB-96-AB-2167,Electric,In Use
80,Owner_80,Driver_80,14,1,AB-79-AB-5802,Diesel,Under Maintenance
81,Owner_81,Driver_81,16,4,AB-13-AB-1575,Petrol,Available
82,Owner_82,Driver_82,15,4,AB-66-AB-7580,Petrol,Under Maintenance
83,Owner_83,Driver_83,6,1,AB-28-AB-8685,Electric,In Use
84,Owner_84,Driver_84,14,5,AB-85-AB-1639,Electric,Under Maintenance
85,Owner_85,Driver_85,15,2,AB-65-AB-4519,Petrol,Under Maintenance
86,Owner_86,Driver_86,11,4,AB-43-AB-4989,Diesel,Under Maintenance
87,Owner_87,Driver_87,16,5,AB-67-AB-3657,Petrol,Available
