store_id,operator_id,city_id,location_latitude,location_longitude,contact_email,contact_mobile,start_time,end_time,inventory_capacity
1,1,14,27.442870567195637,76.68490396550847,store1@alwar.com,9558297632,2024-09-30 09:00:00,2024-09-30 21:00:00,4013
2,1,14,27.744711113949215,76.50457792831057,store2@alwar.com,9679615530,2024-09-30 09:00:00,2024-09-30 21:00:00,3543
3,1,14,27.45076922138513,76.6449502632182,store3@alwar.com,9349744563,2024-09-30 09:00:00,2024-09-30 21:00:00,2566
4,1,14,27.586566580882007,76.51943205641886,store4@alwar.com,9032423567,2024-09-30 09:00:00,2024-09-30 21:00:00,4538
5,1,14,27.429074161566632,76.51063647623262,store5@alwar.com,9754088095,2024-09-30 09:00:00,2024-09-30 21:00:00,3316
6,1,14,27.528128448679897,76.66153234307524,store6@alwar.com,9309444232,2024-09-30 09:00:00,2024-09-30 21:00:00,2264
7,1,14,27.613612389398188,76.73449513294428,store7@alwar.com,9843708374,2024-09-30 09:00:00,2024-09-30 21:00:00,3972
8,1,14,27.515945621301178,76.75461870927474,store8@alwar.com,9790255072,2024-09-30 09:00:00,2024-09-30 21:00:00,4689
9,1,14,27.59976360009741,76.55463518159644,store9@alwar.com,9121309870,2024-09-30 09:00:00,2024-09-30 21:00:00,3036
10,1,14,27.603439078281923,76.6144896991846,store10@alwar.com,9949890895,2024-09-30 09:00:00,2024-09-30 21:00:00,2823
11,1,1,30.24430977838225,74.15096170792303,store11@abohar.com,9821205980,2024-09-30 09:00:00,2024-09-30 21:00:00,1788
12,1,1,30.222779042726923,74.2773239641985,store12@abohar.com,9800168975,2024-09-30 09:00:00,2024-09-30 21:00:00,1977
13,1,1,30.193833538407052,74.11409130083184,store13@abohar.com,9244138010,2024-09-30 09:00:00,2024-09-30 21:00:00,2699
14,1,1,30.14544221070488,74.18972863670949,store14@abohar.com,9792443942,2024-09-30 09:00:00,2024-09-30 21:00:00,4767
15,1,1,30.26490305161257,74.18037566026287,store15@abohar.com,9178943799,2024-09-30 09:00:00,2024-09-30 21:00:00,4826
16,1,1,30.050734360763546,74.202006269875,store16@abohar.com,9926630735,2024-09-30 09:00:00,2024-09-30 21:00:00,4563
17,1,1,30.20015905669028,74.1915788420067,store17@abohar.com,9989500680,2024-09-30 09:00:00,2024-09-30 21:00:00,1162
18,1,1,30.030609758620585,74.2536591198115,store18@abohar.com,9288358379,2024-09-30 09:00:00,2024-09-30 21:00:00,4390
